Date,Open,High,Low,Close,Adj Close,Volume,dates
2008-02-11,9.115,9.265,8.975,9.26,8.247638,21100400,2008-02-11
2008-02-12,9.295,9.625,9.26,9.355,8.332249,27547600,2008-02-12
2008-02-13,9.445,9.56,9.29,9.425,8.394599,21567200,2008-02-13
2008-02-14,9.425,9.445,9.045,9.09,8.096223,33469800,2008-02-14
2008-02-15,9.06,9.18,9.035,9.145,8.14521,20662400,2008-02-15
2008-02-19,9.26,9.325,9.02,9.05,8.060595,19257000,2008-02-19
2008-02-20,9.035,9.145,9.0,9.13,8.13185,24022800,2008-02-20
2008-02-21,9.13,9.215,8.875,8.915,7.940356,30105000,2008-02-21
2008-02-22,8.96,9.125,8.89,9.125,8.127396,23209400,2008-02-22
2008-02-25,9.125,9.26,9.005,9.25,8.238731,21662600,2008-02-25
2008-02-26,9.165,9.6,9.125,9.53,8.488117,28534000,2008-02-26
2008-02-27,9.475,9.665,9.37,9.52,8.479213,24853600,2008-02-27
2008-02-28,9.45,9.475,9.255,9.285,8.269905,20939000,2008-02-28
2008-02-29,9.18,9.25,8.965,8.99,8.007154,27282600,2008-02-29
2008-03-03,9.01,9.085,8.905,8.925,7.949262,21872400,2008-03-03
2008-03-04,8.9,9.0,8.815,8.95,7.971528,24785200,2008-03-04
2008-03-05,9.0,9.22,8.995,9.07,8.078409,20355800,2008-03-05
2008-03-06,9.0,9.1,8.755,8.8,7.837927,31514000,2008-03-06
2008-03-07,8.75,8.84,8.52,8.55,7.615255,27801000,2008-03-07
2008-03-10,8.56,8.64,8.385,8.4,7.481657,24145400,2008-03-10
2008-03-11,8.515,8.875,8.48,8.87,7.900272,27657000,2008-03-11
2008-03-12,8.87,9.055,8.78,8.805,7.842378,25828000,2008-03-12
2008-03-13,8.675,8.93,8.525,8.815,7.851287,21277200,2008-03-13
2008-03-14,8.645,8.92,8.5,8.695,7.744405,32352000,2008-03-14
2008-03-17,8.485,8.765,8.475,8.63,7.686512,45387000,2008-03-17
2008-03-18,8.71,9.125,8.7,9.12,8.122941,45919600,2008-03-18
2008-03-19,9.17,9.25,8.745,8.75,7.793393,42828400,2008-03-19
2008-03-20,8.82,8.915,8.71,8.765,7.806752,46619200,2008-03-20
2008-03-24,8.775,9.005,8.75,8.945,7.967077,44695600,2008-03-24
2008-03-25,8.96,9.03,8.89,8.995,8.011609,26993600,2008-03-25
2008-03-26,8.97,8.985,8.775,8.83,7.864648,18021800,2008-03-26
2008-03-27,8.88,9.005,8.78,8.81,7.846835,19225000,2008-03-27
2008-03-28,8.875,8.9,8.5,8.525,7.592992,23743200,2008-03-28
2008-03-31,8.53,8.84,8.5,8.75,7.793393,23676000,2008-03-31
2008-04-01,8.915,9.25,8.84,9.25,8.238731,38319600,2008-04-01
2008-04-02,9.25,9.445,9.16,9.3,8.283265,21129200,2008-04-02
2008-04-03,9.25,9.3,9.035,9.17,8.167473,14076800,2008-04-03
2008-04-04,9.21,9.345,9.105,9.25,8.238731,19506400,2008-04-04
2008-04-07,9.315,9.35,9.125,9.155,8.154113,12686200,2008-04-07
2008-04-08,9.225,9.245,8.95,8.99,8.007154,21691000,2008-04-08
2008-04-09,9.055,9.085,8.675,8.735,7.780033,36586400,2008-04-09
2008-04-10,8.75,8.87,8.715,8.775,7.815659,28439000,2008-04-10
2008-04-11,8.75,8.75,8.585,8.63,7.686512,20693000,2008-04-11
2008-04-14,8.595,8.63,8.44,8.485,7.557365,24284800,2008-04-14
2008-04-15,8.505,8.68,8.48,8.66,7.713232,18484200,2008-04-15
